date,symbol,open,high,low,close,adj_close,volume,source
2015-01-02,SPY,206.380005,206.880005,204.179993,205.429993,169.687790,121465900,yahoo_finance_chart
2015-01-05,SPY,204.169998,204.369995,201.350006,201.720001,166.623383,169632600,yahoo_finance_chart
2015-01-06,SPY,202.089996,202.720001,198.860001,199.820007,165.053879,209151400,yahoo_finance_chart
2015-01-07,SPY,201.419998,202.720001,200.880005,202.309998,167.110657,125346700,yahoo_finance_chart
2015-01-08,SPY,204.009995,206.160004,203.990005,205.899994,170.076080,147217800,yahoo_finance_chart
2015-01-09,SPY,206.399994,206.419998,203.509995,204.250000,168.713135,158567300,yahoo_finance_chart
2015-01-12,SPY,204.410004,204.600006,201.919998,202.649994,167.391495,144396100,yahoo_finance_chart
2015-01-13,SPY,204.119995,205.479996,200.509995,202.080002,166.920731,214553300,yahoo_finance_chart
2015-01-14,SPY,199.649994,201.100006,198.570007,200.860001,165.912933,192991100,yahoo_finance_chart
2015-01-15,SPY,201.630005,202.009995,198.880005,199.020004,164.393112,176613900,yahoo_finance_chart
2015-01-16,SPY,198.770004,201.820007,198.550003,201.630005,166.549011,211879600,yahoo_finance_chart
2015-01-20,SPY,202.399994,202.720001,200.169998,202.059998,166.904099,130991100,yahoo_finance_chart
2015-01-21,SPY,201.500000,203.660004,200.940002,203.080002,167.746719,122942700,yahoo_finance_chart
2015-01-22,SPY,203.990005,206.259995,202.330002,206.100006,170.241302,174356000,yahoo_finance_chart
2015-01-23,SPY,205.789993,206.100006,204.809998,204.970001,169.307922,117516800,yahoo_finance_chart
2015-01-26,SPY,204.710007,205.559998,203.850006,205.449997,169.704346,92009700,yahoo_finance_chart
2015-01-27,SPY,202.970001,204.119995,201.740005,202.740005,167.465881,134044600,yahoo_finance_chart
2015-01-28,SPY,204.169998,204.289993,199.910004,200.139999,165.318268,168514300,yahoo_finance_chart
2015-01-29,SPY,200.380005,202.300003,198.679993,201.990005,166.846329,173585400,yahoo_finance_chart
2015-01-30,SPY,200.570007,202.169998,199.130005,199.449997,164.748306,197729700,yahoo_finance_chart
2015-02-02,SPY,200.050003,202.029999,197.860001,201.919998,166.788605,163107000,yahoo_finance_chart
2015-02-03,SPY,203.000000,204.850006,202.550003,204.839996,169.200546,124212900,yahoo_finance_chart
2015-02-04,SPY,203.919998,205.380005,203.509995,204.059998,168.556259,134306700,yahoo_finance_chart
2015-02-05,SPY,204.860001,206.300003,204.770004,206.119995,170.257736,97953200,yahoo_finance_chart
2015-02-06,SPY,206.559998,207.240005,204.919998,205.550003,169.787003,125672000,yahoo_finance_chart
2015-02-09,SPY,204.770004,205.639999,204.139999,204.630005,169.027069,87219000,yahoo_finance_chart
2015-02-10,SPY,205.880005,207.119995,204.679993,206.809998,170.827728,96164200,yahoo_finance_chart
2015-02-11,SPY,206.610001,207.449997,205.830002,206.929993,170.926880,91087800,yahoo_finance_chart
2015-02-12,SPY,207.889999,208.990005,206.970001,208.919998,172.570587,97545900,yahoo_finance_chart
2015-02-13,SPY,209.070007,209.839996,208.759995,209.779999,173.280945,93670400,yahoo_finance_chart
2015-02-17,SPY,209.399994,210.320007,209.100006,210.110001,173.553558,76968200,yahoo_finance_chart
2015-02-18,SPY,209.660004,210.220001,209.339996,210.130005,173.570145,80652900,yahoo_finance_chart
2015-02-19,SPY,209.410004,210.419998,209.240005,209.979996,173.446198,91462500,yahoo_finance_chart
2015-02-20,SPY,209.479996,211.330002,208.729996,211.240005,174.486954,140896400,yahoo_finance_chart
2015-02-23,SPY,210.940002,211.210007,210.479996,211.210007,174.462234,74411100,yahoo_finance_chart
2015-02-24,SPY,211.119995,212.050003,210.759995,211.809998,174.957794,72472300,yahoo_finance_chart
2015-02-25,SPY,211.660004,212.240005,211.220001,211.630005,174.809189,73061700,yahoo_finance_chart
2015-02-26,SPY,211.520004,211.710007,210.649994,211.380005,174.602646,72697900,yahoo_finance_chart
2015-02-27,SPY,211.259995,211.580002,210.600006,210.660004,174.007858,108076000,yahoo_finance_chart
2015-03-02,SPY,210.779999,212.059998,210.720001,211.990005,175.106537,87491400,yahoo_finance_chart
2015-03-03,SPY,211.470001,212.050003,210.080002,211.119995,174.387863,110325800,yahoo_finance_chart
2015-03-04,SPY,210.399994,210.490005,209.059998,210.229996,173.652664,114497200,yahoo_finance_chart
2015-03-05,SPY,210.619995,210.800003,209.850006,210.460007,173.842712,76873000,yahoo_finance_chart
2015-03-06,SPY,209.419998,209.940002,207.100006,207.500000,171.397675,188128000,yahoo_finance_chart
